Dataset,Row,Col,Accuracy_A,Accuracy_B,Accuracy_D,Loss_A,Loss_B,Loss_D,Validation_Accuracy_A,Validation_Accuracy_B,Validation_Accuracy_D,Validation_Loss_A,Validation_Loss_B,Validation_Loss_D,Delta_Training_Accuracy,Delta_Validation_Accuracy,Delta_Training_Loss,Delta_Validation_Loss,Training_Accuracy_Win_Count,Training_Accuracy_Lose_Count,Training_Accuracy_Same_Count,Count,Training_Loss_Win_Count,Training_Loss_Lose_Count,Greater,Validation_Accuracy_Win_Count,Validation_Accuracy_Lose_Count,Validation_Accuracy_Same_Count,Validation_Loss_Win_Count,Validation_Loss_Lose_Count,ARI
cleve.csv,303,13,0.810433884,0.857954545,0.824896694,0.401770391,0.348817162,0.40001018,0.743852459,0.782786885,0.75204918,0.50667531,0.470643193,0.478917763,Decreased,Decreased,Increased,Increased,1,5,2,8,0,8,FALSE,1,6,1,2,6,0
cloud.csv,108,7,0.574127907,0.661337209,0.595930233,0.689223364,0.626663372,4.026835524,0.568181818,0.630681818,0.545454545,0.717542097,0.678255081,6.290174857,Decreased,Decreased,Increased,Increased,5,3,0,8,3,5,FALSE,1,3,4,3,5,0
cpu.csv,209,7,0.984697272,0.991350632,0.946107784,0.093452391,0.06562318,0.152378118,0.981481481,0.984126984,0.941798942,0.101689143,0.080775362,0.153282221,Decreased,Decreased,Increased,Increased,0,9,0,9,0,9,FALSE,0,6,3,0,9,0
datatrieve.csv,130,8,0.877136752,0.920940171,0.919871795,0.316372602,0.234620477,0.238582219,0.854700855,0.897435897,0.897435897,0.365587836,0.300992358,0.30317153,Decreased,Same,Increased,Increased,1,2,6,9,3,6,FALSE,1,1,7,4,5,0
diggle_table_a2.csv,310,8,0.995391705,0.995391705,0.985599078,0.024570345,0.013584036,0.056077302,0.997695853,0.997695853,0.99078341,0.026092328,0.014908768,0.05194399,Decreased,Decreased,Increased,Increased,0,4,3,7,0,7,FALSE,0,2,5,0,7,0
fertility.csv,100,9,0.85,0.885714286,0.883928571,0.392903226,0.302447293,0.330296614,0.878571429,0.9,0.9,0.40078203,0.326068814,0.315083419,Decreased,Same,Increased,Decreased,1,1,5,7,3,4,FALSE,1,1,5,3,4,0
fri_c0_100_10.csv,100,10,0.6546875,0.8265625,0.8296875,0.560634676,0.380950114,1.943868995,0.6125,0.7875,0.76875,0.621205047,0.439752145,1.767959353,Increased,Decreased,Increased,Increased,2,6,0,8,2,6,FALSE,2,3,3,2,6,0
fri_c0_250_10.csv,250,10,0.832857143,0.855,0.818571429,0.412202929,0.354580441,0.423832625,0.777142857,0.788571429,0.782857143,0.477606901,0.458085788,0.480971264,Decreased,Decreased,Increased,Increased,0,6,1,7,1,6,FALSE,2,4,1,2,5,0
fri_c0_250_25.csv,250,25,0.888333333,0.905,0.870833333,0.328136101,0.29854199,0.320603703,0.773333333,0.776666667,0.793333333,0.483369494,0.479058459,0.482366785,Decreased,Increased,Increased,Increased,1,4,1,6,1,5,FALSE,4,2,0,2,4,0
fri_c0_250_5.csv,250,5,0.797857143,0.858571429,0.832142857,0.437381208,0.365636085,0.426489753,0.76,0.82,0.762857143,0.505034123,0.440018577,0.482753792,Decreased,Decreased,Increased,Increased,2,5,0,7,0,7,FALSE,1,6,0,2,5,0
