Dataset,Run,Checkpoint,Training_Type,Method,CMC_Type,Input_Type,Misclassification_Count,S1_Train_loss,S1_Train_acc,S1_Val_loss,S1_Val_acc,S1_Test_loss,S1_Test_acc,S2_Train_loss,S2_Train_acc,S2_Val_loss,S2_Val_acc,S2_Test_loss,S2_Test_acc,S3_Train_loss,S3_Train_acc,S3_Val_loss,S3_Val_acc,S3_Test_loss,S3_Test_acc,Solve_Time
EMNIST,1,./checkpoints_SAP/EMNIST_CO/Run1_checkpoint_CMC_Any_10.pth,SAP,CMC,Any,t,10,0.111042715,95.91646635,0.156345794,94.47115385,0.161969614,94.42788462,0.142944625,95.00801282,0.187179593,93.69791667,0.197068331,93.58173077,0.084636833,96.73577724,0.152057829,94.89583333,0.161213624,94.52403846,3625.221093
EMNIST,2,./checkpoints_SAP/EMNIST_CO/Run2_checkpoint_CMC_Any_10.pth,SAP,CMC,Any,t,10,0.10108079,96.17387821,0.1527359,94.74358974,0.155803118,94.62980769,0.100297146,96.24198718,0.151618676,94.76762821,0.15477851,94.74519231,0.087445334,96.66967147,0.158363723,94.54727564,0.157794332,94.64903846,3625.512372
EMNIST,3,./checkpoints_SAP/EMNIST_CO/Run3_checkpoint_CMC_Any_10.pth,SAP,CMC,Any,t,10,0.083427206,96.74679487,0.154334965,94.57932692,0.158422272,94.8125,0.084197753,96.70973558,0.154983719,94.64342949,0.158879846,94.74038462,0.091676856,96.42327724,0.166345063,94.38301282,0.167877641,94.36057692,3626.028709
Caltech101,1,./checkpoints_SAP/Caltech101_CO/Run1_checkpoint_CMC_Any_10.pth,SAP,CMC,Any,t,10,0.014456704,99.88474837,0.4566043,89.54650269,0.434964091,89.85707699,0.042532885,98.46331156,0.525514785,87.93235972,0.519738171,88.33563854,0.006929231,99.98079139,0.517276674,89.39277479,0.527460224,88.19732596,3701.275856
Caltech101,2,./checkpoints_SAP/Caltech101_CO/Run2_checkpoint_CMC_Any_10.pth,SAP,CMC,Any,t,10,0.005318859,100,0.399788413,91.00691776,0.541161396,88.84278469,0.200490065,98.46331156,0.677374797,86.62567256,0.80318177,85.7538036,0.010543396,99.84633116,0.485631173,88.47040738,0.614874806,87.87459659,3698.845901
Caltech101,3,./checkpoints_SAP/Caltech101_CO/Run3_checkpoint_CMC_Any_10.pth,SAP,CMC,Any,t,10,0.010505818,99.84633116,0.448206922,89.62336664,0.461298002,89.90318119,0.048357191,98.82827507,0.498543246,88.47040738,0.509852909,88.7505763,0.007305537,99.96158279,0.438716982,90.3151422,0.426440273,90.8252651,3700.223436
MNIST,1,./checkpoints_SAP/MNIST_CO/Run1_checkpoint_CMC_Any_10.pth,SAP,CMC,Any,t,10,0.0262753,99.19583333,0.050548168,98.59166667,0.046004077,98.48,0.028274873,99.11041667,0.051804175,98.475,0.048127801,98.42,0.015546083,99.49166667,0.052762034,98.53333333,0.05126429,98.37,3603.192888
MNIST,2,./checkpoints_SAP/MNIST_CO/Run2_checkpoint_CMC_Any_10.pth,SAP,CMC,Any,t,10,0.022583847,99.41041667,0.076805319,98.10833333,0.068659998,98.22,0.035008695,98.93333333,0.091427801,97.59166667,0.081511637,97.71,0.017319531,99.525,0.08079654,98,0.068852612,98.3,3602.802568
MNIST,3,./checkpoints_SAP/MNIST_CO/Run3_checkpoint_CMC_Any_10.pth,SAP,CMC,Any,t,10,0.020180622,99.37083333,0.055472461,98.48333333,0.049754988,98.65,0.025250359,99.175,0.060749002,98.35,0.057221862,98.46,0.020614746,99.42708333,0.056143295,98.4,0.048323971,98.55,3602.743069
KMNIST,1,./checkpoints_SAP/KMNIST_CO/Run1_checkpoint_CMC_Any_10.pth,SAP,CMC,Any,t,10,0.000743692,99.98125,0.03148172,99.35,0.126322929,97.43,0.169076065,95.36666667,0.208324044,94.28333333,0.342973063,91.06,0.002331645,99.94166667,0.032191865,99.23333333,0.116922207,97.3,3663.7856
KMNIST,2,./checkpoints_SAP/KMNIST_CO/Run2_checkpoint_CMC_Any_10.pth,SAP,CMC,Any,t,10,0.002796802,99.91458333,0.028386311,99.33333333,0.105471677,97.71,0.098129492,97.10208333,0.126511574,96.41666667,0.237680935,93.57,0.001058063,99.9625,0.026441467,99.36666667,0.106849037,98,3663.144179
KMNIST,3,./checkpoints_SAP/KMNIST_CO/Run3_checkpoint_CMC_Any_10.pth,SAP,CMC,Any,t,10,5.29E-06,100,0.021745441,99.575,0.106986271,98,0.017734875,99.34375,0.053394804,98.61666667,0.138849772,97.14,3.96E-06,100,0.022732362,99.475,0.111246924,97.94,3675.201829
Food101,1,./checkpoints_SAP/Food101_CO/Run1_checkpoint_CMC_Any_10.pth,SAP,CMC,Any,t,10,0.839112248,72.65,1.389165998,57.66666667,1.170558516,62.88,0.853703841,72.35,1.375416858,57.73333333,1.17311866,62.72,0.698864509,77.43333333,1.424281346,58.66666667,1.211595839,63.2,3661.411847
Food101,2,./checkpoints_SAP/Food101_CO/Run2_checkpoint_CMC_Any_10.pth,SAP,CMC,Any,t,10,0.627560574,79.15,1.370376609,57.8,1.079391716,64.96,0.654277096,77.61666667,1.374296935,56.86666667,1.088112464,64,0.586297962,80.31666667,1.379946192,60,1.230161994,63.52,3645.798717
Food101,3,./checkpoints_SAP/Food101_CO/Run3_checkpoint_CMC_Any_10.pth,SAP,CMC,Any,t,10,0.606873819,79.71666667,1.150739225,60.6,0.939055788,68.2,0.63680471,78.93333333,1.168729699,60.13333333,0.968190344,67.96,0.521667996,83.36666667,1.313775103,60,1.093716199,65.72,3625.257938
FashionMNIST,1,./checkpoints_SAP/FashionMNIST_CO/Run1_checkpoint_CMC_Any_10.pth,SAP,CMC,Any,t,10,0.139400445,94.925,0.206435584,92.80833333,0.217092312,92.19,0.164261481,94.01875,0.234457939,91.69166667,0.248002042,90.9,0.097609438,96.69791667,0.203796195,92.81666667,0.213860653,92.62,3654.889718
FashionMNIST,3,./checkpoints_SAP/FashionMNIST_CO/Run3_checkpoint_CMC_Any_10.pth,SAP,CMC,Any,t,10,0.109578171,96.07083333,0.194524208,93.19166667,0.208548955,92.53,0.161054382,93.78333333,0.248883209,90.95833333,0.265399209,90.04,0.104125687,96.23958333,0.199242564,93.2,0.217820438,92.42,3666.169153
FashionMNIST,5,./checkpoints_SAP/FashionMNIST_CO/Run5_checkpoint_CMC_Any_10.pth,SAP,CMC,Any,t,10,0.08266779,97.24375,0.190154585,93.5,0.210982504,93.13,1.202749166,86.33541667,1.22669115,83.875,1.225182279,83.3,0.087715718,96.8875,0.196421567,93.43333333,0.227770071,92.34,3649.726183
CIFAR10,2,./checkpoints_SAP/CIFAR10_CO/Run2_checkpoint_CMC_Any_10.pth,SAP,CMC,Any,t,10,0.35607907,87.95,0.463036887,84.02,0.469813287,83.83,0.4792099,85.03,0.575685852,82.12,0.57755483,81.95,0.334622099,88.54,0.459357743,84.49,0.454471246,84.77,3672.1463
CIFAR10,3,./checkpoints_SAP/CIFAR10_CO/Run3_checkpoint_CMC_Any_10.pth,SAP,CMC,Any,t,10,0.36280978,87.7625,0.46236627,84.51,0.463329619,84.51,0.410067394,86.66,0.498515917,84.07,0.50875916,83.18,0.397855532,86.7775,0.489204487,83.7,0.514933487,83.23,3673.26968
CIFAR10,4,./checkpoints_SAP/CIFAR10_CO/Run4_checkpoint_CMC_Any_10.pth,SAP,CMC,Any,t,10,0.352352986,88.09,0.435122398,85.11,0.463352684,84.36,0.398175151,86.4925,0.477708932,83.46,0.506089028,82.87,0.348228856,87.965,0.441844936,85.19,0.463656322,84.41,3652.563875
SVHN,1,./checkpoints_SAP/SVHN_CO/Run1_checkpoint_CMC_Any_10.pth,SAP,CMC,Any,t,10,0.130249577,96.44398942,0.227381127,93.55675381,0.232620329,93.4542102,0.133436501,96.31601399,0.230305405,93.52262644,0.236541903,93.30439459,0.10315633,97.03779541,0.225581252,93.69326326,0.191166454,94.62968654,3625.998704
SVHN,2,./checkpoints_SAP/SVHN_CO/Run2_checkpoint_CMC_Any_10.pth,SAP,CMC,Any,t,10,0.132973028,96.20510195,0.232758828,93.37246604,0.206735344,94.04194837,0.14740701,95.7000256,0.246402378,93.09262166,0.225637959,93.49262446,0.084096362,97.63501408,0.220358896,94.10961709,0.198005133,94.55669945,3626.029021
SVHN,3,./checkpoints_SAP/SVHN_CO/Run3_checkpoint_CMC_Any_10.pth,SAP,CMC,Any,t,10,0.117003436,96.71529733,0.218396467,93.97993311,0.206528636,94.28395821,0.139528716,96.10272161,0.241789576,93.32468773,0.227165862,93.7653657,0.114756814,96.68117055,0.236171911,93.4338953,0.193455975,94.51444376,3625.837537
CIFAR10,1,./checkpoints_SAP/CIFAR10_CO/Run1_checkpoint_CMC_Correct_1.pth,SAP,CMC,Correct,t,1,0.372323132,87.6325,0.479077308,84.18,0.492542632,83.72,0.375159898,87.3275,0.479847398,83.75,0.501450912,83.67,0.309428613,89.6125,0.410794643,86.13,0.416731362,85.77,3639.568793
CIFAR10,2,./checkpoints_SAP/CIFAR10_CO/Run2_checkpoint_CMC_Correct_1.pth,SAP,CMC,Correct,t,1,0.349722546,87.865,0.473115008,84.06,0.46482812,84.29,0.36783914,87.4575,0.478228564,83.64,0.478264123,83.51,0.347632244,88.155,0.488265547,84.02,0.473898371,84.31,3641.466786
CIFAR10,3,./checkpoints_SAP/CIFAR10_CO/Run3_checkpoint_CMC_Correct_1.pth,SAP,CMC,Correct,t,1,0.36489183,87.645,0.459074322,84.57,0.476260066,83.81,0.37755467,87.5075,0.47007543,84.22,0.474806184,84.22,0.321207174,89.255,0.427664101,85.7,0.429555618,85.41,3647.333261
MNIST,1,./checkpoints_SAP/MNIST_CO/Run1_checkpoint_CMC_Correct_1.pth,SAP,CMC,Correct,t,1,0.0262753,99.19583333,0.050548168,98.59166667,0.046004077,98.48,0.026274905,99.19375,0.050548073,98.59166667,0.046003035,98.48,0.026061883,99.24375,0.052996157,98.425,0.048959102,98.39,1218.814627
MNIST,2,./checkpoints_SAP/MNIST_CO/Run2_checkpoint_CMC_Correct_1.pth,SAP,CMC,Correct,t,1,0.022583847,99.41041667,0.076805319,98.10833333,0.068659998,98.22,0.022714874,99.39583333,0.077075029,98.08333333,0.068537707,98.26,0.025119453,99.28125,0.081332049,97.975,0.068547446,98.11,158.9917054
MNIST,3,./checkpoints_SAP/MNIST_CO/Run3_checkpoint_CMC_Correct_1.pth,SAP,CMC,Correct,t,1,0.020180622,99.37083333,0.055472461,98.48333333,0.049754988,98.65,0.020308092,99.36041667,0.055644326,98.48333333,0.049892488,98.65,0.02129638,99.34791667,0.05991638,98.35,0.052033013,98.41,1018.233479
KMNIST,1,./checkpoints_SAP/KMNIST_CO/Run1_checkpoint_CMC_Correct_1.pth,SAP,CMC,Correct,t,1,0.000743692,99.98125,0.03148172,99.35,0.126322929,97.43,0.001024305,99.96875,0.032128126,99.30833333,0.132161242,97.31,3.26E-06,100,0.024341916,99.51666667,0.105429956,98.01,3651.62489
KMNIST,2,./checkpoints_SAP/KMNIST_CO/Run2_checkpoint_CMC_Correct_1.pth,SAP,CMC,Correct,t,1,0.002796802,99.91458333,0.028386311,99.33333333,0.105471677,97.71,0.002868643,99.91041667,0.028480491,99.325,0.105579195,97.7,4.03E-06,100,0.020145731,99.56666667,0.08963771,98.24,3639.625206
KMNIST,3,./checkpoints_SAP/KMNIST_CO/Run3_checkpoint_CMC_Correct_1.pth,SAP,CMC,Correct,t,1,5.29E-06,100,0.021745441,99.575,0.106986271,98,0.000156771,99.99166667,0.024901733,99.51666667,0.113609138,97.94,3.23E-06,100,0.024015949,99.55,0.107379676,98.16,3640.479767
