Dataset,Training_Type,CMC_Label,Training+CMC,S3_Val_mean,Standalone,S1_Val_mean,Delta,Delta_Val
FashionMNIST,SAM,Any_10,92.77333333333333,92.98888888888888,93.05333333333333,93.24722222222222,-0.28000000000000114,-0.25833333333333997
FashionMNIST,SAM,Correct_1,92.75666666666666,93.2,93.05333333333333,93.24722222222222,-0.29666666666666686,-0.04722222222221717
FashionMNIST,SAM,Correct_10,92.88666666666667,93.04444444444444,93.05333333333333,93.24722222222222,-0.1666666666666572,-0.20277777777778283
Food101,AWP,Any_1,72.072,64.97333333200001,70.18285714285715,63.96666666714286,1.8891428571428577,1.0066666648571498
Food101,AWP,Any_10,71.04,63.95555555333334,70.18285714285715,63.96666666714286,0.8571428571428612,-0.01111111380951968
Food101,AWP,Correct_1,71.24,65.17777777666667,70.18285714285715,63.96666666714286,1.0571428571428498,1.211111109523813
Food101,AWP,Correct_10,71.61333333333333,64.46666666666667,70.18285714285715,63.96666666714286,1.4304761904761847,0.49999999952380847
Food101,ERM,Any_1,67.912,61.786666665999995,66.736,62.239999999999995,1.176000000000002,-0.45333333399999987
Food101,ERM,Any_10,68.264,62.680000002,66.736,62.239999999999995,1.5279999999999916,0.440000002000005
Food101,ERM,Correct_1,66.744,61.73333333200001,66.736,62.239999999999995,0.007999999999995566,-0.5066666679999869
Food101,ERM,Correct_10,67.72,61.853333332,66.736,62.239999999999995,0.9839999999999947,-0.3866666679999966
Food101,RWP,Any_1,68.58666666666666,62.199999999999996,69.86333333333333,63.583333332222224,-1.2766666666666708,-1.3833333322222288
Food101,RWP,Any_10,68.26666666666667,62.28888888888889,69.86333333333333,63.583333332222224,-1.596666666666664,-1.294444443333333
Food101,RWP,Correct_1,70.32,63.822222223333334,69.86333333333333,63.583333332222224,0.45666666666666345,0.23888889111110956
Food101,RWP,Correct_10,71.62666666666667,65.57777777777778,69.86333333333333,63.583333332222224,1.7633333333333354,1.9944444455555583
Food101,SAM,Any_1,78.58666666666666,72.4888888888889,75.78666666666668,68.77777777777777,2.799999999999983,3.711111111111123
Food101,SAM,Any_10,77.72,71.31111111111112,75.78666666666668,68.77777777777777,1.933333333333323,2.5333333333333456
Food101,SAM,Correct_1,77.72,71.39999999999999,75.78666666666668,68.77777777777777,1.933333333333323,2.62222222222222
KMNIST,AWP,Any_1,98.422,99.558333334,98.255,99.55952380999999,0.1670000000000016,-0.001190475999990781
KMNIST,AWP,Any_10,98.42333333333333,99.56111111333333,98.255,99.55952380999999,0.16833333333333655,0.0015873033333377862
KMNIST,AWP,Correct_1,98.24000000000001,99.56944444333334,98.255,99.55952380999999,-0.014999999999986358,0.009920633333351248
KMNIST,AWP,Correct_10,98.15333333333332,99.60555555666667,98.255,99.55952380999999,-0.10166666666667368,0.04603174666668508
KMNIST,ERM,Any_1,97.932,99.411666666,97.58,99.27000000000001,0.35200000000000387,0.1416666659999919
KMNIST,ERM,Any_10,97.902,99.428333334,97.58,99.27000000000001,0.32200000000000273,0.15833333399999105
KMNIST,ERM,Correct_1,97.702,99.34,97.58,99.27000000000001,0.12199999999999989,0.06999999999999318
KMNIST,ERM,Correct_10,97.914,99.436666666,97.58,99.27000000000001,0.3340000000000032,0.16666666599998337
KMNIST,RWP,Any_1,97.96,99.46111111333335,97.85666666666667,99.45555555611111,0.10333333333332462,0.005555557222237439
KMNIST,RWP,Any_10,97.96,99.4888888888889,97.85666666666667,99.45555555611111,0.10333333333332462,0.033333332777786495
KMNIST,RWP,Correct_1,98.01333333333334,99.52499999999999,97.85666666666667,99.45555555611111,0.1566666666666663,0.06944444388888371
KMNIST,RWP,Correct_10,98.03000000000002,99.5111111111111,97.85666666666667,99.45555555611111,0.17333333333334622,0.05555555499999798
KMNIST,SAM,Any_1,97.91333333333334,99.46111111111111,97.76333333333334,99.32916666666667,0.15000000000000568,0.13194444444444287
KMNIST,SAM,Any_10,97.94666666666667,99.41944444444444,97.76333333333334,99.32916666666667,0.18333333333333712,0.09027777777777146
KMNIST,SAM,Correct_1,97.89666666666666,99.48055555555555,97.76333333333334,99.32916666666667,0.13333333333332575,0.15138888888888857
KMNIST,SAM,Correct_10,97.78666666666668,99.36944444444445,97.76333333333334,99.32916666666667,0.023333333333340533,0.040277777777788515
MNIST,AWP,Any_1,98.792,98.78999999999999,98.68142857142857,98.72083333071429,0.11057142857143276,0.06916666928570692
MNIST,AWP,Any_10,98.79666666666667,98.675,98.68142857142857,98.72083333071429,0.11523809523809803,-0.04583333071428797
MNIST,AWP,Correct_1,98.71666666666665,98.68333333333334,98.68142857142857,98.72083333071429,0.03523809523808552,-0.037499997380948
MNIST,AWP,Correct_10,98.74666666666667,98.75,98.68142857142857,98.72083333071429,0.06523809523810087,0.029166669285714875
MNIST,ERM,Any_1,98.256,98.18833333,97.828,97.62000000200001,0.42799999999999727,0.5683333279999943
MNIST,ERM,Any_10,98.33800000000001,98.191666666,97.828,97.62000000200001,0.5100000000000051,0.5716666639999914
