Dataset,Method,RunID,Candidate,W_offset_sum,b_offset_sum,Objective_value,n,Misclassified,Accuracy_Full,Accuracy_Val,GlobalMisclassified
KMNIST,MisCls_Correct,4,0,0.20988868119313364,0.0,0.20988868119313364,1000,1,99.95833333333334,99.11666666666666,2
KMNIST,MisCls_Correct,5,0,3.2679399839593155,0.0,3.2679399839593155,1000,1,99.9875,99.375,6
FashionMNIST,MisCls_Correct,1,0,0.004817654418298051,0.0,0.004817654418298051,1000,1,96.15,92.66666666666666,4
FashionMNIST,MisCls_Correct,2,0,0.003321805959027606,0.0,0.0033218059590276066,1000,1,95.72916666666667,92.525,1
FashionMNIST,MisCls_Correct,3,0,0.0044769605347482625,0.0,0.0044769605347482625,1000,1,95.01041666666666,92.65,8
FashionMNIST,MisCls_Correct,4,0,0.1807725300058102,0.0,0.1807725300058102,1000,1,96.29791666666667,92.825,52
FashionMNIST,MisCls_Correct,5,0,0.0055268670092657795,0.0,0.0055268670092657795,1000,1,95.0125,92.68333333333332,8
FashionMNIST,MisCls_Correct,1,0,1.1476481549007946,0.0,1.147648154479558,1000,10,95.75416666666666,92.16666666666666,282
FashionMNIST,MisCls_Correct,2,0,0.7848443393644106,0.0,0.7848443393644106,1000,10,95.58333333333333,92.55,407
FashionMNIST,MisCls_Correct,3,0,2.5876178944629866,0.0,2.587617894462988,1000,10,94.19583333333334,92.04166666666667,644
FashionMNIST,MisCls_Correct,4,0,0.4523896163054786,0.0,0.45238713155509597,1000,10,96.05625,92.73333333333333,433
FashionMNIST,MisCls_Correct,5,0,0.7681466111548045,0.0,0.7681466111548045,1000,10,94.41666666666667,92.325,526
USPS,MisCls_Correct,1,0,0.12241345567666595,0.0,0.12241345567666592,1000,1,99.84567901234568,98.97119341563786,2
USPS,MisCls_Correct,2,0,0.9721329429529627,0.0,0.9721329429529627,1000,1,99.96570644718793,99.45130315500685,1
USPS,MisCls_Correct,3,0,1.1711398285666936,0.0,1.1711398285666939,1000,1,99.96570644718793,99.039780521262,1
USPS,MisCls_Correct,4,0,0.7744914241984258,0.0,0.7744914241984258,1000,1,99.98285322359396,99.10836762688614,1
USPS,MisCls_Correct,5,0,0.12517028542776654,0.0,0.12517028542776656,1000,1,99.55418381344307,98.69684499314128,2
SVHN,MisCls_Correct,1,0,0.00899902067684374,0.0,0.00899902067684374,1000,1,95.17447316781843,93.06531977339431,2
