Dataset,Run,Train Loss,Train Acc,Test Acc,Method
bank-marketing,2,0.16569747,0.92656493,0.84452063,B0
bank-marketing,2,0.09584002,0.92692435,0.89096540,RAB0
bank-marketing,3,0.04532435,0.98794514,0.87891185,Train
bank-marketing,3,0.04511932,0.98791748,0.87813777,F_C1
bank-marketing,3,0.50879198,0.89844614,0.87327212,RAF_C1
bank-marketing,3,0.04492403,0.98800045,0.87703198,F_A1
bank-marketing,3,0.48930675,0.89955211,0.87139225,RAF_A1
bank-marketing,3,0.04973715,0.98570561,0.87305099,F_A10
bank-marketing,3,0.12157475,0.94484073,0.88974899,RAF_A10
bank-marketing,3,0.04441632,0.98794514,0.87891185,B0
bank-marketing,3,0.54018486,0.89938623,0.87670022,RAB0
bank-marketing,4,0.37637714,0.89106393,0.88643152,Train
bank-marketing,4,1.14411652,0.89125746,0.88632089,F_A1
bank-marketing,4,0.02733941,0.99474674,0.86962289,RAF_A1
bank-marketing,4,0.36226174,0.89869499,0.88687384,F_A10
bank-marketing,4,0.41029814,0.91542250,0.89008075,RAF_A10
bank-marketing,4,1.13393116,0.89106393,0.88643152,B0
bank-marketing,4,0.03142278,0.98719865,0.87902242,RAB0
santander,0,0.29324159,0.90023124,0.89990002,Train
santander,0,0.59797078,0.89958751,0.89929998,F_C1
santander,0,0.19892871,0.92793125,0.90517497,RAF_C1
santander,0,0.63525784,0.89018750,0.89015001,F_C10
santander,0,0.57829630,0.90898126,0.90307498,RAF_C10
santander,0,0.32550868,0.90036875,0.89995003,F_A1
santander,0,0.29334152,0.83069998,0.80162501,RAF_A1
santander,0,0.38953343,0.90769374,0.90057498,F_A10
santander,0,0.24143094,0.91503751,0.90337503,RAF_A10
santander,0,0.56228924,0.90023124,0.89995003,B0
santander,0,0.33273336,0.89793748,0.89464998,RAB0
santander,1,0.26307821,0.91466874,0.90350002,Train
santander,1,0.47988775,0.91565627,0.90317500,F_C1
santander,1,0.05213060,0.99127501,0.86942500,RAF_C1
santander,1,0.62146264,0.91402501,0.89735001,F_C10
santander,1,0.23465119,0.92951250,0.90240002,RAF_C10
santander,1,0.28840914,0.91526878,0.90342498,F_A1
santander,1,0.14986673,0.93552500,0.90307498,RAF_A1
santander,1,0.30265519,0.91863126,0.90292501,F_A10
santander,1,0.08997626,0.98310626,0.87674999,RAF_A10
santander,2,0.15806150,0.95818752,0.88962501,Train
santander,2,0.21878767,0.95830625,0.88950002,F_C1
santander,2,0.28980085,0.92850000,0.88650000,RAF_C1
santander,2,0.30510464,0.95037502,0.88800001,F_C10
santander,2,0.25667503,0.93238747,0.90230000,RAF_C10
santander,2,0.15810886,0.95828748,0.88937497,F_A1
santander,2,0.20635764,0.93002498,0.90039998,RAF_A1
santander,2,0.27121797,0.96247500,0.88464999,F_A10
santander,2,0.26466119,0.92713749,0.90567499,RAF_A10
santander,2,0.15618359,0.95818752,0.88962501,B0
santander,2,0.33180773,0.89913124,0.85402501,RAB0
santander,3,0.08234394,0.97503126,0.88442498,Train
santander,3,0.08582963,0.97600627,0.88397503,F_C1
santander,3,0.10947300,0.96784377,0.88755000,RAF_C1
santander,3,0.08582963,0.97600627,0.88397503,F_A1
santander,3,0.10947300,0.96784377,0.88755000,RAF_A1
santander,3,0.11000118,0.97777498,0.87440002,F_A10
santander,3,0.11869122,0.95426250,0.87332499,RAF_A10
santander,3,0.08771015,0.97503126,0.88442498,B0
santander,3,0.10393712,0.96669376,0.88832498,RAB0
santander,4,0.26960310,0.89951253,0.89955002,Train
santander,4,0.54901814,0.89938122,0.89940000,F_C1
santander,4,0.09436627,0.97668749,0.87462503,RAF_C1
santander,4,0.59967160,0.89083749,0.89074999,F_C10
santander,4,0.15653157,0.95566249,0.89625001,RAF_C10
santander,4,0.25853795,0.89965624,0.89962500,F_A1
santander,4,0.06993068,0.98057503,0.88152498,RAF_A1
santander,4,0.59251446,0.88901877,0.88872498,F_A10
santander,4,0.07458246,0.97822499,0.88092500,RAF_A10
santander,4,0.69289118,0.89951253,0.89947498,B0
santander,4,0.14347909,0.95891875,0.89420003,RAB0
