Dataset,Shape,Train Size,Validation Size,Test Size,Hidden Layers,Nodes per Layer,Hidden Sizes,Activation,Learning Rate,Train Accuracy,Train F1 Score,Val Accuracy,Val F1 Score,Test Accuracy,Test F1 Score
mofn_3_7_10.csv,1324x10,856,100,368,2,5,"[5, 5]",sigmoid,0.1,0.7792056074766355,0.875902823374918,0.78,0.8764044943820225,0.779891304347826,0.8763358778625954
mofn_3_7_10.csv,1324x10,856,100,368,2,5,"[5, 5]",tanh,0.01,0.7792056074766355,0.875902823374918,0.78,0.8764044943820225,0.779891304347826,0.8763358778625954
mofn_3_7_10.csv,1324x10,856,100,368,2,5,"[5, 5]",tanh,0.05,0.7792056074766355,0.875902823374918,0.78,0.8764044943820225,0.779891304347826,0.8763358778625954
mofn_3_7_10.csv,1324x10,856,100,368,2,5,"[5, 5]",tanh,0.1,0.7792056074766355,0.875902823374918,0.78,0.8764044943820225,0.779891304347826,0.8763358778625954
mofn_3_7_10.csv,1324x10,856,100,368,3,3,"[3, 3, 3]",relu,0.01,0.7792056074766355,0.875902823374918,0.78,0.8764044943820225,0.779891304347826,0.8763358778625954
mofn_3_7_10.csv,1324x10,856,100,368,3,3,"[3, 3, 3]",relu,0.05,0.7792056074766355,0.875902823374918,0.78,0.8764044943820225,0.779891304347826,0.8763358778625954
mofn_3_7_10.csv,1324x10,856,100,368,3,3,"[3, 3, 3]",relu,0.1,0.7792056074766355,0.875902823374918,0.78,0.8764044943820225,0.779891304347826,0.8763358778625954
mofn_3_7_10.csv,1324x10,856,100,368,3,3,"[3, 3, 3]",sigmoid,0.01,0.7792056074766355,0.875902823374918,0.78,0.8764044943820225,0.779891304347826,0.8763358778625954
mofn_3_7_10.csv,1324x10,856,100,368,3,3,"[3, 3, 3]",sigmoid,0.05,0.7792056074766355,0.875902823374918,0.78,0.8764044943820225,0.779891304347826,0.8763358778625954
mofn_3_7_10.csv,1324x10,856,100,368,3,3,"[3, 3, 3]",sigmoid,0.1,0.7792056074766355,0.875902823374918,0.78,0.8764044943820225,0.779891304347826,0.8763358778625954
mofn_3_7_10.csv,1324x10,856,100,368,3,3,"[3, 3, 3]",tanh,0.01,0.7792056074766355,0.875902823374918,0.78,0.8764044943820225,0.779891304347826,0.8763358778625954
mofn_3_7_10.csv,1324x10,856,100,368,3,3,"[3, 3, 3]",tanh,0.05,0.7792056074766355,0.875902823374918,0.78,0.8764044943820225,0.779891304347826,0.8763358778625954
mofn_3_7_10.csv,1324x10,856,100,368,3,3,"[3, 3, 3]",tanh,0.1,0.7792056074766355,0.875902823374918,0.78,0.8764044943820225,0.779891304347826,0.8763358778625954
mofn_3_7_10.csv,1324x10,856,100,368,3,4,"[4, 4, 4]",relu,0.01,0.7792056074766355,0.875902823374918,0.78,0.8764044943820225,0.779891304347826,0.8763358778625954
mofn_3_7_10.csv,1324x10,856,100,368,3,4,"[4, 4, 4]",relu,0.05,0.7792056074766355,0.875902823374918,0.78,0.8764044943820225,0.779891304347826,0.8763358778625954
mofn_3_7_10.csv,1324x10,856,100,368,3,4,"[4, 4, 4]",relu,0.1,0.7792056074766355,0.875902823374918,0.78,0.8764044943820225,0.779891304347826,0.8763358778625954
mofn_3_7_10.csv,1324x10,856,100,368,3,4,"[4, 4, 4]",sigmoid,0.01,0.7792056074766355,0.875902823374918,0.78,0.8764044943820225,0.779891304347826,0.8763358778625954
mofn_3_7_10.csv,1324x10,856,100,368,3,4,"[4, 4, 4]",sigmoid,0.05,0.7792056074766355,0.875902823374918,0.78,0.8764044943820225,0.779891304347826,0.8763358778625954
mofn_3_7_10.csv,1324x10,856,100,368,3,4,"[4, 4, 4]",sigmoid,0.1,0.7792056074766355,0.875902823374918,0.78,0.8764044943820225,0.779891304347826,0.8763358778625954
mofn_3_7_10.csv,1324x10,856,100,368,3,4,"[4, 4, 4]",tanh,0.01,0.7792056074766355,0.875902823374918,0.78,0.8764044943820225,0.779891304347826,0.8763358778625954
mofn_3_7_10.csv,1324x10,856,100,368,3,4,"[4, 4, 4]",tanh,0.05,0.7792056074766355,0.875902823374918,0.78,0.8764044943820225,0.779891304347826,0.8763358778625954
mofn_3_7_10.csv,1324x10,856,100,368,3,4,"[4, 4, 4]",tanh,0.1,0.7792056074766355,0.875902823374918,0.78,0.8764044943820225,0.779891304347826,0.8763358778625954
mofn_3_7_10.csv,1324x10,856,100,368,3,5,"[5, 5, 5]",relu,0.01,0.7792056074766355,0.875902823374918,0.78,0.8764044943820225,0.779891304347826,0.8763358778625954
mofn_3_7_10.csv,1324x10,856,100,368,3,5,"[5, 5, 5]",relu,0.05,0.7792056074766355,0.875902823374918,0.78,0.8764044943820225,0.779891304347826,0.8763358778625954
mofn_3_7_10.csv,1324x10,856,100,368,3,5,"[5, 5, 5]",relu,0.1,0.7792056074766355,0.875902823374918,0.78,0.8764044943820225,0.779891304347826,0.8763358778625954
mofn_3_7_10.csv,1324x10,856,100,368,3,5,"[5, 5, 5]",sigmoid,0.01,0.7792056074766355,0.875902823374918,0.78,0.8764044943820225,0.779891304347826,0.8763358778625954
mofn_3_7_10.csv,1324x10,856,100,368,3,5,"[5, 5, 5]",sigmoid,0.05,0.7792056074766355,0.875902823374918,0.78,0.8764044943820225,0.779891304347826,0.8763358778625954
mofn_3_7_10.csv,1324x10,856,100,368,3,5,"[5, 5, 5]",sigmoid,0.1,0.7792056074766355,0.875902823374918,0.78,0.8764044943820225,0.779891304347826,0.8763358778625954
mofn_3_7_10.csv,1324x10,856,100,368,3,5,"[5, 5, 5]",tanh,0.01,0.7792056074766355,0.875902823374918,0.78,0.8764044943820225,0.779891304347826,0.8763358778625954
mofn_3_7_10.csv,1324x10,856,100,368,3,5,"[5, 5, 5]",tanh,0.05,0.7792056074766355,0.875902823374918,0.78,0.8764044943820225,0.779891304347826,0.8763358778625954
mofn_3_7_10.csv,1324x10,856,100,368,3,5,"[5, 5, 5]",tanh,0.1,0.7792056074766355,0.875902823374918,0.78,0.8764044943820225,0.779891304347826,0.8763358778625954
banknote-authentication.csv,1372x4,890,100,382,1,3,[3],relu,0.01,0.9719101123595506,0.9675745784695201,0.97,0.9655172413793104,0.9869109947643979,0.9851632047477744
banknote-authentication.csv,1372x4,890,100,382,1,3,[3],relu,0.05,0.9865168539325843,0.985,0.98,0.9777777777777777,0.9895287958115183,0.9883040935672515
banknote-authentication.csv,1372x4,890,100,382,1,3,[3],relu,0.1,0.9910112359550561,0.9899497487437187,0.98,0.9777777777777777,0.9921465968586387,0.9912023460410556
banknote-authentication.csv,1372x4,890,100,382,1,3,[3],sigmoid,0.01,0.5550561797752809,0.0,0.56,0.0,0.5549738219895288,0.0
banknote-authentication.csv,1372x4,890,100,382,1,3,[3],sigmoid,0.05,0.9775280898876404,0.9752475247524751,0.97,0.967032967032967,0.9790575916230366,0.976878612716763
banknote-authentication.csv,1372x4,890,100,382,1,3,[3],sigmoid,0.1,0.9820224719101124,0.9800995024875622,0.97,0.967032967032967,0.9842931937172775,0.9826589595375723
banknote-authentication.csv,1372x4,890,100,382,1,3,[3],tanh,0.01,0.9764044943820225,0.9739776951672863,0.97,0.967032967032967,0.9790575916230366,0.976878612716763
banknote-authentication.csv,1372x4,890,100,382,1,3,[3],tanh,0.05,0.9865168539325843,0.985,0.98,0.9777777777777777,0.9895287958115183,0.9883040935672515
banknote-authentication.csv,1372x4,890,100,382,1,3,[3],tanh,0.1,0.9910112359550561,0.9899497487437187,0.98,0.9777777777777777,0.9895287958115183,0.9882352941176471
banknote-authentication.csv,1372x4,890,100,382,1,4,[4],relu,0.01,0.9853932584269663,0.9833971902937421,0.97,0.9655172413793104,0.9895287958115183,0.9881656804733727
banknote-authentication.csv,1372x4,890,100,382,1,4,[4],relu,0.05,0.9865168539325843,0.985,0.98,0.9777777777777777,0.9895287958115183,0.9883040935672515
banknote-authentication.csv,1372x4,890,100,382,1,4,[4],relu,0.1,0.9910112359550561,0.9899497487437187,0.98,0.9777777777777777,0.9921465968586387,0.9912023460410556
banknote-authentication.csv,1372x4,890,100,382,1,4,[4],sigmoid,0.01,0.5550561797752809,0.0,0.56,0.0,0.5549738219895288,0.0
banknote-authentication.csv,1372x4,890,100,382,1,4,[4],sigmoid,0.05,0.9764044943820225,0.9739776951672863,0.97,0.967032967032967,0.9790575916230366,0.976878612716763
banknote-authentication.csv,1372x4,890,100,382,1,4,[4],sigmoid,0.1,0.9820224719101124,0.9800995024875622,0.97,0.967032967032967,0.9842931937172775,0.9826589595375723
banknote-authentication.csv,1372x4,890,100,382,1,4,[4],tanh,0.01,0.9764044943820225,0.9739776951672863,0.97,0.967032967032967,0.9790575916230366,0.976878612716763
banknote-authentication.csv,1372x4,890,100,382,1,4,[4],tanh,0.05,0.9865168539325843,0.985,0.98,0.9777777777777777,0.9895287958115183,0.9883040935672515
banknote-authentication.csv,1372x4,890,100,382,1,4,[4],tanh,0.1,0.9910112359550561,0.9899497487437187,0.98,0.9777777777777777,0.9895287958115183,0.9882352941176471
banknote-authentication.csv,1372x4,890,100,382,1,5,[5],relu,0.01,0.9786516853932584,0.9761606022584692,0.96,0.9555555555555557,0.9790575916230366,0.9766081871345028
banknote-authentication.csv,1372x4,890,100,382,1,5,[5],relu,0.05,0.9865168539325843,0.985,0.98,0.9777777777777777,0.9895287958115183,0.9883040935672515
banknote-authentication.csv,1372x4,890,100,382,1,5,[5],relu,0.1,0.9943820224719101,0.9937106918238994,1.0,1.0,0.9947643979057592,0.9941176470588236
banknote-authentication.csv,1372x4,890,100,382,1,5,[5],sigmoid,0.01,0.5550561797752809,0.0,0.56,0.0,0.5549738219895288,0.0
banknote-authentication.csv,1372x4,890,100,382,1,5,[5],sigmoid,0.05,0.9775280898876404,0.9752475247524751,0.97,0.967032967032967,0.9790575916230366,0.976878612716763
banknote-authentication.csv,1372x4,890,100,382,1,5,[5],sigmoid,0.1,0.9820224719101124,0.9800995024875622,0.97,0.967032967032967,0.9842931937172775,0.9826589595375723
banknote-authentication.csv,1372x4,890,100,382,1,5,[5],tanh,0.01,0.9775280898876404,0.9752475247524751,0.97,0.967032967032967,0.9790575916230366,0.976878612716763
banknote-authentication.csv,1372x4,890,100,382,1,5,[5],tanh,0.05,0.9865168539325843,0.985,0.98,0.9777777777777777,0.9895287958115183,0.9883040935672515
banknote-authentication.csv,1372x4,890,100,382,1,5,[5],tanh,0.1,0.9910112359550561,0.9899497487437187,0.98,0.9777777777777777,0.9895287958115183,0.9882352941176471
banknote-authentication.csv,1372x4,890,100,382,2,3,"[3, 3]",relu,0.01,0.5550561797752809,0.0,0.56,0.0,0.5549738219895288,0.0
banknote-authentication.csv,1372x4,890,100,382,2,3,"[3, 3]",relu,0.05,0.5550561797752809,0.0,0.56,0.0,0.5549738219895288,0.0
banknote-authentication.csv,1372x4,890,100,382,2,3,"[3, 3]",relu,0.1,0.5550561797752809,0.0,0.56,0.0,0.5549738219895288,0.0
banknote-authentication.csv,1372x4,890,100,382,2,3,"[3, 3]",sigmoid,0.01,0.5550561797752809,0.0,0.56,0.0,0.5549738219895288,0.0
banknote-authentication.csv,1372x4,890,100,382,2,3,"[3, 3]",sigmoid,0.05,0.5550561797752809,0.0,0.56,0.0,0.5549738219895288,0.0
banknote-authentication.csv,1372x4,890,100,382,2,3,"[3, 3]",sigmoid,0.1,0.5550561797752809,0.0,0.56,0.0,0.5549738219895288,0.0
