Dataset,Run,Training_Type,Method,CMC_Type,Misclassification_Count,Gurobi_Samples,Stage,Checkpoint,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Test_Loss,Test_Acc
CIFAR10,2,AWP,CMC,Correct,1,250,Model_init_50,./checkpoints_AWP/CIFAR10/Run2_full_checkpoint_50.pth,0.03821207052767277,99.3525,0.16504395008087158,94.55,0.1573105173110962,94.82
CIFAR10,2,AWP,CMC,Correct,1,250,Model_init_CMC,./checkpoints_AWP/CIFAR10_CO/Correct_1_N250/Run2_full_checkpoint.pth,0.19890370762348175,94.49,0.30466673917770387,90.1,0.28934486343860627,90.83
CIFAR10,2,AWP,CMC,Correct,1,250,Model_init_CMC_AGAIN_UNTIL_CONVERGENCE,./checkpoints_AWP/CIFAR10_CO/Correct_1_N250/Run2_full_checkpoint_Resume.pth,0.18198506729602815,95.125,0.28866231770515444,90.59,0.27328833661079405,91.27
CIFAR10,3,AWP,CMC,Correct,1,250,Model_init,./checkpoints_AWP/CIFAR10/Run3_full_checkpoint.pth,0.1968775217294693,94.6475,0.2774884438514709,91.14,0.29048779969215394,90.69
CIFAR10,3,AWP,CMC,Correct,1,250,Model_init_50,./checkpoints_AWP/CIFAR10/Run3_full_checkpoint_50.pth,0.0380994584441185,99.4,0.14538144493103028,95.55,0.14980451383590698,94.9
CIFAR10,3,AWP,CMC,Correct,1,250,Model_init_CMC,./checkpoints_AWP/CIFAR10_CO/Correct_1_N250/Run3_full_checkpoint.pth,0.20033316378593444,94.4675,0.27747655758857726,91.58,0.29302426760196687,90.69
CIFAR10,3,AWP,CMC,Correct,1,250,Model_init,./checkpoints_AWP/CIFAR10/Run3_full_checkpoint.pth,0.1963966113090515,94.7475,0.27832295122146605,91.25,0.2882964904308319,90.84
CIFAR10,3,AWP,CMC,Correct,1,250,Model_init_50,./checkpoints_AWP/CIFAR10/Run3_full_checkpoint_50.pth,0.0377714373767376,99.415,0.14603152307271958,95.24,0.15068429245948792,94.94
CIFAR10,3,AWP,CMC,Correct,1,250,Model_init_CMC,./checkpoints_AWP/CIFAR10_CO/Correct_1_N250/Run3_full_checkpoint.pth,0.1996364837408066,94.55,0.27588378314971923,91.43,0.29623199543952944,90.22
CIFAR10,3,AWP,CMC,Correct,1,250,Model_init_CMC_AGAIN_UNTIL_CONVERGENCE,./checkpoints_AWP/CIFAR10_CO/Correct_1_N250/Run3_full_checkpoint_Resume.pth,0.02702676447033882,99.6575,0.1477520538210869,95.19,0.1517606614112854,94.69
CIFAR10,1,AWP,CMC,Any,1,250,Model_init,./checkpoints_AWP/CIFAR10/Run1_full_checkpoint.pth,0.19016709036827087,94.9775,0.27892360215187073,90.62,0.285701536655426,90.77
CIFAR10,1,AWP,CMC,Any,1,250,Model_init_50,./checkpoints_AWP/CIFAR10/Run1_full_checkpoint_50.pth,0.03489847015887499,99.445,0.15023570768088101,94.9,0.1500099125981331,94.84
CIFAR10,1,AWP,CMC,Any,1,250,Model_init_CMC,./checkpoints_AWP/CIFAR10_CO/Any_1_N250/Run1_full_checkpoint.pth,0.19184295717477798,94.8975,0.27702780733108523,91.02,0.2875696106433868,90.64
CIFAR10,1,AWP,CMC,Any,1,250,Model_init_CMC_AGAIN_UNTIL_CONVERGENCE,./checkpoints_AWP/CIFAR10_CO/Any_1_N250/Run1_full_checkpoint_Resume.pth,0.17736421852111817,95.1725,0.27776955486536026,90.89,0.2767550444126129,90.94
CIFAR10,2,AWP,CMC,Any,1,250,Model_init,./checkpoints_AWP/CIFAR10/Run2_full_checkpoint.pth,0.20025584384202957,94.505,0.3023394994735718,89.94,0.29833364709615706,90.26
CIFAR10,2,AWP,CMC,Any,1,250,Model_init_50,./checkpoints_AWP/CIFAR10/Run2_full_checkpoint_50.pth,0.03837297155559063,99.3775,0.1677863667011261,94.57,0.15504331259727477,94.7
CIFAR10,2,AWP,CMC,Any,1,250,Model_init_CMC,./checkpoints_AWP/CIFAR10_CO/Any_1_N250/Run2_full_checkpoint.pth,0.20318204720020294,94.3175,0.3086331027984619,89.92,0.29590298281908034,90.49
CIFAR10,2,AWP,CMC,Any,1,250,Model_init_CMC_AGAIN_UNTIL_CONVERGENCE,./checkpoints_AWP/CIFAR10_CO/Any_1_N250/Run2_full_checkpoint_Resume.pth,0.1815221881389618,94.97,0.29040653743743894,90.55,0.27497060317993166,90.9
CIFAR10,3,AWP,CMC,Any,1,250,Model_init,./checkpoints_AWP/CIFAR10/Run3_full_checkpoint.pth,0.19709986100196838,94.6725,0.2760974092483521,91.36,0.2903154903888702,90.63
CIFAR10,3,AWP,CMC,Any,1,250,Model_init_50,./checkpoints_AWP/CIFAR10/Run3_full_checkpoint_50.pth,0.03848875428140163,99.3925,0.1465933217048645,95.15,0.14989297504425048,94.92
CIFAR10,3,AWP,CMC,Any,1,250,Model_init_CMC,./checkpoints_AWP/CIFAR10_CO/Any_1_N250/Run3_full_checkpoint.pth,0.19700493924617768,94.6725,0.27606393976211546,91.22,0.2912250874042511,90.67
CIFAR10,3,AWP,CMC,Any,1,250,Model_init_CMC_AGAIN_UNTIL_CONVERGENCE,./checkpoints_AWP/CIFAR10_CO/Any_1_N250/Run3_full_checkpoint_Resume.pth,0.1966622617959976,94.52,0.28166594994068145,91.06,0.29475921170711517,90.57
CIFAR10,1,AWP,CMC,Correct,1,500,Model_init,./checkpoints_AWP/CIFAR10/Run1_full_checkpoint.pth,0.19070192258358,94.8925,0.2801314475536346,90.66,0.2892228147983551,90.6
CIFAR10,1,AWP,CMC,Correct,1,500,Model_init_50,./checkpoints_AWP/CIFAR10/Run1_full_checkpoint_50.pth,0.034683259552717206,99.48,0.14877959848940372,94.85,0.14882336931228637,95.12
