Dataset,N_samples,Threshold,Flip_Count,Mismatch,Max_Abs_magn,Median_magn,Mean_magn,Sum_Abs_magn,Geomean_magn
blogger.csv,100,3e-05,1,1,2.3579594968827955,0.0,0.048121622385363175,2.3579594968827955,0.02502919157843042
bodyfat.csv,252,3e-05,1,1,8.836710583747521,0.0,0.10396130098526496,8.836710583747521,0.02726049514647766
boston.csv,506,3e-05,1,1,0.020883173559252358,0.0,0.00025781695752163404,0.020883173559252358,0.00025519439716115144
boston_corrected.csv,506,3e-05,1,1,0.4163293978204507,0.0,0.0038195357598206484,0.4163293978204507,0.0031983938327782013
breast-cancer-dropped-missing-attributes-values.csv,277,3e-05,1,1,0.160418825904988,0.0,0.003162247884932164,0.20554611252059066,0.0029724039372229782
breast.csv,699,3e-05,1,1,1.0000447689591145,0.0,0.014493402448682819,1.0000447689591145,0.010096565533089352
breast_cancer.csv,286,3e-05,1,1,8.047475459779038,0.0,0.12380731476583136,8.047475459779038,0.034465011905385756
buggyCrx.csv,690,3e-05,1,1,0.2660803155568053,0.0,0.004162365775863461,0.370450554051848,0.0037734049697892846
bupa.csv,345,3e-05,1,1,0.08107689131547863,0.0,0.0016546304350097678,0.08107689131547863,0.0015922390426894584
chatfield_4.csv,235,3e-05,1,1,354.0430198564334,0.0,4.597961296836797,354.0430198564334,0.07924620994572873
chscase_census2.csv,400,3e-05,1,1,0.02468775639775928,0.0,0.0004331185332940224,0.02468775639775928,0.00042795011079932443
chscase_census3.csv,400,3e-05,1,1,0.004021396284529537,0.0,7.055081200929012e-05,0.004021396284529537,7.04118135819165e-05
chscase_census4.csv,400,3e-05,1,1,1.0009592301897874,0.0,0.017560688248943638,1.0009592301897874,0.012243231313924241
chscase_census5.csv,400,3e-05,1,1,0.09934869928230915,0.0,0.0017429596365317395,0.09934869928230915,0.001663099187996897
chscase_census6.csv,400,3e-05,1,1,0.45898543215023846,0.0,0.008660102493400726,0.45898543215023846,0.007152652945497495
